time,accx,accy,accz,gx,gy,gz,g,ax,ay,az,a
09:35:34.533,-1.64,-1.40,9.59,-0.33,-0.27,9.28,9.29,-1.31,-1.13,0.32,1.76
09:35:34.797,-1.60,-1.37,9.56,-0.58,-0.49,9.33,9.37,-1.02,-0.87,0.22,1.36
09:35:35.051,-1.64,-1.37,9.59,-0.79,-0.67,9.39,9.44,-0.84,-0.70,0.21,1.12
09:35:35.303,-1.60,-1.33,9.59,-0.95,-0.80,9.43,9.51,-0.64,-0.53,0.17,0.85
09:35:35.556,-1.60,-1.44,9.52,-1.08,-0.93,9.45,9.55,-0.52,-0.52,0.07,0.73
09:35:35.808,-1.60,-1.37,9.52,-1.19,-1.02,9.46,9.59,-0.41,-0.35,0.06,0.54
09:35:36.061,-1.60,-1.37,9.59,-1.27,-1.09,9.49,9.63,-0.33,-0.28,0.11,0.45
09:35:36.313,-1.68,-1.29,9.59,-1.35,-1.13,9.51,9.67,-0.33,-0.16,0.09,0.37
09:35:36.566,-1.60,-1.37,9.56,-1.40,-1.17,9.52,9.69,-0.20,-0.19,0.04,0.28
09:35:36.818,-1.60,-1.37,9.63,-1.44,-1.21,9.54,9.72,-0.16,-0.15,0.09,0.24
09:35:37.070,-1.60,-1.33,9.59,-1.47,-1.23,9.55,9.74,-0.13,-0.09,0.04,0.16
09:35:37.323,-1.64,-1.37,9.63,-1.51,-1.26,9.57,9.77,-0.13,-0.10,0.07,0.18
09:35:37.575,-1.60,-1.37,9.59,-1.52,-1.28,9.57,9.78,-0.08,-0.08,0.02,0.11
09:35:37.827,-1.64,-1.40,9.56,-1.55,-1.31,9.57,9.78,-0.09,-0.10,-0.01,0.13
09:35:38.082,-1.60,-1.29,9.59,-1.56,-1.30,9.57,9.79,-0.04,0.02,0.02,0.05
09:35:38.335,-1.60,-1.37,9.59,-1.57,-1.31,9.58,9.79,-0.03,-0.05,0.02,0.06
09:35:38.587,-1.60,-1.37,9.56,-1.57,-1.32,9.57,9.79,-0.03,-0.04,-0.02,0.05
09:35:38.843,-1.60,-1.37,9.63,-1.58,-1.33,9.59,9.81,-0.02,-0.03,0.05,0.06
09:35:39.095,-1.60,-1.37,9.59,-1.58,-1.34,9.59,9.81,-0.02,-0.03,0.01,0.03
09:35:39.347,-1.60,-1.33,9.63,-1.59,-1.34,9.60,9.82,-0.01,0.01,0.04,0.04
09:35:39.603,-1.60,-1.37,9.56,-1.59,-1.34,9.59,9.81,-0.01,-0.02,-0.03,0.04
09:35:39.855,-1.56,-1.37,9.63,-1.58,-1.35,9.60,9.82,0.02,-0.02,0.04,0.05
09:35:40.108,-1.60,-1.40,9.59,-1.59,-1.36,9.60,9.82,-0.01,-0.05,-0.00,0.05
09:35:40.361,-1.68,-1.33,9.59,-1.60,-1.35,9.60,9.82,-0.07,0.03,-0.00,0.08
09:35:40.614,-1.64,-1.37,9.59,-1.61,-1.35,9.60,9.82,-0.03,-0.01,-0.00,0.03
09:35:40.866,-1.60,-1.37,9.56,-1.61,-1.36,9.59,9.82,0.01,-0.01,-0.03,0.03
09:35:41.118,-1.60,-1.37,9.56,-1.61,-1.36,9.58,9.81,0.01,-0.01,-0.03,0.03
09:35:41.370,-1.60,-1.40,9.56,-1.61,-1.37,9.58,9.81,0.01,-0.04,-0.02,0.04
09:35:41.623,-1.60,-1.40,9.59,-1.60,-1.37,9.58,9.81,0.00,-0.03,0.01,0.03
09:35:41.875,-1.56,-1.40,9.59,-1.60,-1.38,9.58,9.81,0.04,-0.02,0.01,0.04
09:35:42.127,-1.64,-1.37,9.59,-1.60,-1.38,9.58,9.82,-0.03,0.01,0.01,0.04
09:35:42.383,-1.60,-1.37,9.59,-1.60,-1.37,9.59,9.82,0.00,0.01,0.01,0.01
09:35:42.635,-1.60,-1.40,9.59,-1.60,-1.38,9.59,9.82,0.00,-0.02,0.01,0.02
09:35:42.887,-1.64,-1.33,9.56,-1.61,-1.37,9.58,9.81,-0.03,0.04,-0.03,0.06
09:35:43.143,-1.60,-1.37,9.56,-1.61,-1.37,9.58,9.81,0.01,0.00,-0.02,0.02
09:35:43.396,-1.64,-1.33,9.56,-1.61,-1.36,9.57,9.80,-0.02,0.03,-0.02,0.05
09:35:43.648,-1.64,-1.37,9.59,-1.62,-1.36,9.58,9.81,-0.02,-0.00,0.02,0.03
09:35:43.900,-1.64,-1.37,9.56,-1.62,-1.36,9.57,9.80,-0.02,-0.00,-0.02,0.02
09:35:44.153,-1.64,-1.33,9.52,-1.63,-1.35,9.56,9.79,-0.01,0.03,-0.04,0.05
09:35:44.405,-1.68,-1.33,9.63,-1.64,-1.35,9.58,9.81,-0.04,0.02,0.06,0.07
09:35:44.657,-1.64,-1.33,9.63,-1.64,-1.34,9.59,9.82,-0.00,0.02,0.05,0.05
09:35:44.913,-1.64,-1.37,9.59,-1.64,-1.35,9.59,9.82,-0.00,-0.02,0.01,0.02
09:35:45.165,-1.60,-1.33,9.56,-1.63,-1.34,9.58,9.81,0.03,0.02,-0.03,0.04
09:35:45.417,-1.64,-1.37,9.59,-1.63,-1.35,9.58,9.81,-0.01,-0.02,0.01,0.02
09:35:45.672,-1.60,-1.37,9.59,-1.62,-1.35,9.59,9.82,0.03,-0.01,0.01,0.03
09:35:45.925,-1.64,-1.33,9.56,-1.63,-1.35,9.58,9.81,-0.01,0.02,-0.02,0.03
09:35:46.177,-1.60,-1.37,9.59,-1.62,-1.35,9.58,9.81,0.02,-0.01,0.01,0.03
09:35:46.432,-1.60,-1.37,9.63,-1.62,-1.35,9.59,9.82,0.02,-0.01,0.04,0.05
09:35:46.685,-1.60,-1.33,9.59,-1.61,-1.35,9.59,9.82,0.01,0.02,0.00,0.03
09:35:46.937,-1.64,-1.40,9.56,-1.62,-1.36,9.59,9.82,-0.02,-0.05,-0.03,0.06
09:35:47.194,-1.64,-1.40,9.56,-1.62,-1.37,9.58,9.81,-0.02,-0.04,-0.02,0.05
09:35:47.446,-1.60,-1.40,9.59,-1.62,-1.38,9.58,9.81,0.02,-0.03,0.01,0.04
09:35:47.700,-1.64,-1.37,9.52,-1.62,-1.37,9.57,9.80,-0.02,0.01,-0.05,0.06
09:35:47.952,-1.60,-1.37,9.59,-1.62,-1.37,9.57,9.81,0.02,0.01,0.02,0.03
09:35:48.204,-1.60,-1.40,9.56,-1.61,-1.38,9.57,9.80,0.01,-0.03,-0.02,0.03
09:35:48.457,-1.64,-1.33,9.63,-1.62,-1.37,9.58,9.81,-0.02,0.04,0.05,0.07
09:35:48.714,-1.64,-1.33,9.52,-1.62,-1.36,9.57,9.80,-0.02,0.03,-0.05,0.06
09:35:48.966,-1.56,-1.37,9.56,-1.61,-1.36,9.57,9.80,0.05,-0.00,-0.01,0.05
09:35:49.218,-1.60,-1.33,9.56,-1.61,-1.35,9.56,9.79,0.01,0.03,-0.01,0.03
