accx,accy,accz,gx,gy,gz,g,ax,ay,az,a
-10.18,-0.04,0.86,-2.04,0,7.53,7.8,-8.14,-0.04,-6.67,10.53
-10.41,0,0.47,-3.71,0,6.12,7.16,-6.7,0,-5.65,8.77
-9.94,-0.19,-0.98,-4.96,-0.04,4.7,6.83,-4.99,-0.16,-5.68,7.56
-9.91,-0.27,-0.47,-5.95,-0.09,3.67,6.99,-3.96,-0.19,-4.13,5.73
-10.37,0.23,-0.62,-6.83,-0.02,2.81,7.39,-3.54,0.26,-3.43,4.94
-10.26,0.08,-0.58,-7.52,0,2.13,7.81,-2.74,0.08,-2.71,3.86
-9.79,-0.04,-0.43,-7.97,-0.01,1.62,8.13,-1.82,-0.03,-2.05,2.74
-10.06,-0.12,-0.04,-8.39,-0.03,1.29,8.49,-1.67,-0.09,-1.33,2.14
-10.18,0.19,-1.05,-8.75,0.01,0.82,8.79,-1.43,0.18,-1.87,2.36
-10.02,-0.12,-0.51,-9,-0.01,0.55,9.02,-1.02,-0.1,-1.06,1.48
-9.98,0.08,-0.7,-9.2,0.01,0.3,9.2,-0.78,0.07,-1,1.28
-10.3,0,-0.51,-9.42,0,0.14,9.42,-0.88,0,-0.65,1.09
-10.18,-0.31,-0.08,-9.57,-0.06,0.1,9.57,-0.61,-0.25,-0.17,0.68
-10.1,0.04,0,-9.68,-0.04,0.08,9.68,-0.42,0.08,-0.08,0.44
-10.18,-0.19,-0.23,-9.78,-0.07,0.02,9.78,-0.4,-0.12,-0.25,0.49
-10.02,0.16,-0.74,-9.83,-0.03,-0.14,9.83,-0.2,0.18,-0.6,0.66
-10.3,-0.16,-0.35,-9.92,-0.05,-0.18,9.92,-0.38,-0.1,-0.17,0.43
-9.91,0.08,-0.62,-9.92,-0.03,-0.27,9.92,0.01,0.1,-0.36,0.37
-10.02,-0.04,-0.47,-9.94,-0.03,-0.31,9.94,-0.08,-0.01,-0.16,0.18
-10.02,-0.04,-0.7,-9.96,-0.03,-0.39,9.96,-0.07,-0.01,-0.32,0.32
-10.02,-0.04,-0.62,-9.97,-0.03,-0.43,9.98,-0.05,-0.01,-0.19,0.2
-10.22,0.08,-0.19,-10.02,-0.01,-0.39,10.03,-0.2,0.09,0.19,0.29
-9.94,-0.04,-0.55,-10,-0.02,-0.42,10.01,0.06,-0.02,-0.13,0.14
-10.18,-0.27,-0.58,-10.04,-0.07,-0.45,10.05,-0.14,-0.21,-0.13,0.28
-10.22,-0.12,-0.47,-10.07,-0.08,-0.45,10.09,-0.14,-0.04,-0.01,0.15
-10.06,0.04,-0.31,-10.07,-0.05,-0.43,10.08,0.01,0.09,0.11,0.15
-9.98,-0.08,-0.55,-10.05,-0.06,-0.45,10.06,0.07,-0.02,-0.1,0.12
-10.18,0,0.12,-10.08,-0.05,-0.34,10.09,-0.1,0.05,0.45,0.47
-10.18,-0.04,-0.16,-10.1,-0.05,-0.3,10.1,-0.08,0.01,0.14,0.17
-9.91,-0.31,0,-10.06,-0.1,-0.24,10.06,0.15,-0.21,0.24,0.36
-10.1,0.08,-0.62,-10.07,-0.06,-0.32,10.07,-0.03,0.14,-0.31,0.34
-9.87,-0.04,-0.12,-10.03,-0.06,-0.28,10.03,0.16,0.02,0.16,0.23
-10.14,-0.19,-0.43,-10.05,-0.09,-0.31,10.06,-0.09,-0.11,-0.12,0.19
-10.14,-0.31,-0.39,-10.07,-0.13,-0.32,10.07,-0.07,-0.18,-0.07,0.21
-10.14,0.04,-0.12,-10.08,-0.1,-0.28,10.09,-0.06,0.14,0.17,0.22
-10.34,0.16,-0.31,-10.13,-0.05,-0.29,10.14,-0.2,0.2,-0.02,0.29
-9.91,-0.16,-0.08,-10.09,-0.07,-0.25,10.09,0.18,-0.09,0.17,0.26
-10.41,0,-0.9,-10.15,-0.05,-0.38,10.16,-0.26,0.05,-0.52,0.58
-10.02,-0.39,-0.23,-10.13,-0.12,-0.35,10.13,0.1,-0.27,0.11,0.31
-10.14,-0.16,-0.47,-10.13,-0.13,-0.37,10.14,-0.01,-0.03,-0.1,0.1
